122,なやまし,形,気分が悪い,,
123,なやむ,動,病気になる,,
124,ならふ,動,慣れる,なじむ,
125,にほふ,動,うつくしく映える,香る,
126,ねんごろなり,形動,心を込めて丁寧だ,熱心だ,親密だ
127,ねんず,動,我慢する,祈る,
128,ののしる,動,大声で騒ぐ,評判になる,
129,はかなくなる,慣,死ぬ,,
130,はしたなし,形,中途半端だ,きまりが悪い,みっともない
131,はづかし,形,立派だ,,
132,びんなし,形,不都合だ,,
133,ふみ,名,手紙,監視,
134,ほい,名,かねてからの望み,出家の願い,
135,ほいなし,形,残念だ,,
136,ほだし,名,妨げになるもの,出家の妨げになるもの、家族,
137,まうく,動,準備する、用意する,,
138,まめなり,形動,誠実だ、まじめだ,実用的だ,
139,まめまめし,形,誠実だ、まじめだ,実用的だ,
140,まもる、まぼる,動,見守る,,
141,みぐしおろす,慣,出家する,,
142,みる,動,男女が結ばれる,結婚する,
143,むくつけし,形,気味が悪い,,
144,むつかる,動,不快に思う,腹を立てる,
145,むなしくなる,慣,死ぬ,,
146,むべ、うべ,副,なるほど,,
147,めざまし,形,気に食わない,素晴らしい,
148,めづ,動,感嘆する,気に入る,
149,めづらし,形,素晴らしい,,
150,めでたし,形,素晴らしい,,
151,もてなす,動,扱う,ふるまう,
152,ものし,形,不快だ,,
153,ものす,動,する,,
154,やうやう,副,次第に、だんだんと,,
155,やがて,副,そのまま,すぐに,
156,やさし,形,優雅だ,けなげだ,
157,やつす,動,目立たない服装にする,出家する,
158,やむごとなし,形,高貴だ,並々ではない,
159,やをら、やはら,副,そっと、静かに,,
160,ゆかし,形,見たい、聞きたい、知りたい、心惹かれる,,
161,ゆめ・ゆめゆめ～禁止/打消,副,決して～するな,まったく～ない,
162,ゆゆし,形,不吉だ,素晴らしい,はなはだしく
163,よしなし,形,つまらない,関係がない,
164,よに～打消,副,まったく～ない,,
165,よも～じ,副,まさか～ないだろう,,
166,よをすつ,慣,出家する,,
167,よをそむく,慣,出家する,,
168,よろし,形,悪くはない、普通だ,,
169,らうたし,形,かわいらしい,いじらしい,
170,わたる,動,通る、行く,～し続ける,一面に～する
171,わづらふ,動,病気になる,～しかねる,
172,わびし,形,つらい、やりきれない,,
173,わぶ,動,嘆く,困る,～しかねる
174,わりなし,形,無理だ,どうしようもない,つらい
175,わろし,形,よくない,,
176,をかし,形,うつくしい、かわいらいしい,おかしい,
177,をさをさ～打消,副,ほとんど～ない,,
178,をさをさし,形,しっかりしている,大人びている,
