78,非₂唯ー₁,唯だにーのみにあらず,ーだけではない,ーどころではない,
79,不₂独ー₁,独りーのみならず,ーだけではない,ーどころではない,
80,非₂独ー₁,独りーのみにあらず,ーだけではない,ーどころではない,
81,豈唯ー,豈に唯だにーのみならんや,どうしてーだけということがあろうか(反語),ーだけではない,ーどころではない
82,豈独ー,豈に独りーのみならんや,どうしてーだけということがあろうか(反語),ーだけではない,ーどころではない
83,A猶(且)B、況C(乎),Aすら猶ほ(且つ)B、況やCをや,AでさえBだ、ましてCならなおさらBだ。,,
84,若ー,若しーせば,もしーならば(仮定・順接),,
85,苟ー,苟もーせば,もしーならば(仮定・順接),,
86,縦ー,縦ひーすとも,たとえーとしても(仮定・逆接),,
87,雖ㇾー,ーすと雖も,ーとしても(仮定・逆接),ーけれども(確定・逆接),
88,以ㇾー(用言),ーを以て(用言)す,ーによって～する(方法・手段),ーのせいで～する(原因・理由),ーを～する(目的語の強調)
89,(用言)以ㇾー,(用言)するにーを以てす,ーを(用言)する(目的語の強調),,
90,(用言)以(用言),(用言)して以て(用言)す,(用言)して(用言)する,,
91,以ㇾー為ㇾ～,ーを以て～と為す,ーを～にする,ーを～と見なす,
92,以為ー,以為(ｵﾓﾍ)らくーと,ーと思う,,
93,与ㇾー～,ーと～す・ーと与に～す,ーと～する(with),,
94,ー与ㇾ～,ーと～と,ーと～と(and),,
95,欲ㇾー,ーせんと欲す,ーしようとする,ーしたいと思う,
